SNOOPY HQ — COLLECTION INVENTORY (DEMONSTRATION DATA)

SUMMARY
Total items,120
Catalogued,120
On display,42
In storage,78
Last audit,2026-07-14
Next audit,2027-07-13

ITEMS
Item ID,Title,Year,Category,Condition,Shelf,Acquired,Source,Value (AUD),Displayed,Notes
SHQ-116,Serving tray — plush 116,1992,Plush,Excellent,E1,2014-09-09,Estate sale,23.54,No,
SHQ-117,Money box — paper 117,1999,Paper,Good,F2,2015-10-10,Market stall,45.0,Yes,
SHQ-118,Bookend pair — media 118,2006,Media,Fair,G3,2016-11-11,Donation,56.8,No,
SHQ-119,Wrapping paper roll — homeware 119,2013,Homeware,Poor,H4,2017-12-12,Trade,70.75,No,
SHQ-120,Enamel pin — pins 120,1960,Pins,Excellent,A1,2018-01-13,Estate sale,82.98,Yes,Catalogued from the July audit; photographed at shelf height.

CATEGORY TOTALS
Category,Items,Value (AUD)
Pins,15,1800
Tinware,15,1800
Ceramics,15,1800
Prints,15,1800
Plush,15,1800
Paper,15,1800
Media,15,1800
Homeware,15,1800
